Longitude,Latitude,Name
-75.055557,39.397925,"Wawa 0944 (24, Gas)"
-74.876413,39.015249,"Wawa 0946 (24, Gas)"
-74.568565,39.410862,"Wawa 0947 (24, Gas)"
-74.391539,39.960469,"Wawa 0948 (24, Gas)"
-74.0635,39.994309,Wawa 0949 (24)
-74.513813,39.322093,Wawa 0950 (24)
-75.161119,39.820448,"Wawa 0951 (24, Gas)"
-75.02267,39.9874,"Wawa 0952 (24, Gas)"
-74.132754,39.950744,"Wawa 0953 (24, Gas)"
-74.814379,38.992025,Wawa 0954 (24)
-74.24266,40.178287,"Wawa 0955 (24, Gas)"
-74.921206,39.794849,"Wawa 0956 (24, Gas)"
-74.806455,39.98179,"Wawa 0957 (24, Gas)"
-74.2007,39.829125,"Wawa 0958 (24, Gas)"
-74.922928,40.035488,"Wawa 0959 (24, Gas, Diesel)"
-74.9535,39.9275,"Wawa 0960 (24, Gas)"
-75.35972,39.759389,"Wawa 0961 (24, Gas, Diesel)"
-74.934107,39.022939,"Wawa 0963 (24, Gas)"
-75.038788,39.42143,"Wawa 0964 (24, Gas)"
-75.068523,39.934552,"Wawa 0965 (24, Gas)"
-75.207435,39.462261,"Wawa 0966 (24, Gas)"
-75.039593,39.795731,"Wawa 0967 (24, Gas)"
-74.528461,39.44662,"Wawa 0968 (24, Gas)"
-74.637798,39.390479,"Wawa 0969 (24, Gas)"
-74.521342,39.408085,"Wawa 0970 (24, Gas)"
-75.08753,39.88686,"Wawa 0972 (24, Gas)"
-74.989092,39.814783,"Wawa 0973 (24, Gas)"
-75.3043,39.760721,"Wawa 0974 (24, Gas)"
-75.042881,39.738458,"Wawa 0975 (24, Gas)"
-74.225301,40.440133,"Wawa 0976 (24, Gas)"
-74.223949,39.585347,Wawa 0977 (24)
-74.36922,39.58134,"Wawa 0978 (24, Gas)"
-74.480226,40.083016,"Wawa 0979 (24, Gas)"
-74.941446,38.98301,"Wawa 0980 (24, Gas)"
-75.04615,39.77088,"Wawa 0981 (24, Gas)"
-74.681266,39.977819,"Wawa 0982 (24, Gas)"
-74.400664,40.461646,"Wawa 0983 (24, Gas)"
-74.994693,39.745363,"Wawa 0984 (24, Gas)"
-75.175447,40.696404,"Wawa 0985 (24, Gas)"
-74.458943,40.371459,"Wawa 0986 (24, Gas, Diesel)"
-74.206617,39.860398,"Wawa 0988 (24, Gas)"
-74.354932,40.355914,"Wawa 0989 (24, Gas)"
