longitude,latitude,type,address,city,state,zip
-77.6294,39.9278,Sheetz,1315 Lincoln Way E, Chambersburg,PA,17201
-77.6489,39.9092,Sheetz,1819 Wayne Ave, Chambersburg,PA,17201
-77.60892,39.99247,Sheetz,5346 Greenvillage Rd, Chambersburg,PA,17201
-77.6333,39.9422,Sheetz,875 Norland Ave, Chambersburg,PA,17201
-79.7983,40.5417,Sheetz,1505 Pittsburgh Street, Cheswick,PA,15024
-79.3683,41.2089,Sheetz,1281 E Main St, Clarion,PA,16214
-75.6944,41.4856,Sheetz,1109 Northern Blvd, Clarks Summit,PA,18411
-78.46,40.2731,Sheetz,12604 Dunnings Highway, Claysburg,PA,16625
-78.4403,41.0278,Sheetz,101 Nichols St, Clearfield,PA,16830
-78.4044,41.0336,Sheetz,14259 Clearfield Shawville Hwy, Clearfield,PA,16830
-79.0144,40.6653,Sheetz,825 Franklin St, Clymer,PA,15728
-76.4547,40.0361,Sheetz,4010 Columbia Ave, Columbia,PA,17512
-80.3044,41.6028,Sheetz,315 Water St, Conneaut Lake,PA,16316
-79.6,40.0164,Sheetz,1002 W Crawford Ave, Connellsville,PA,15425
-79.5608,40.0553,Sheetz,2601 Memorial Blvd, Connellsville,PA,15425
-78.0219,41.7697,Sheetz,208 S Main St, Coudersport,PA,16915
-79.7108,41.3497,Sheetz,7119 Us 322 Box 228, Cranberry,PA,16319
-80.1044,40.685,Sheetz,1329 Freedom Road, Cranberry Township,PA,16066
-80.1069,40.735,Sheetz,2000 Ehrman Road, Cranberry Township,PA,16066
-79.7783,40.5817,Sheetz,899 Freeport Rd, Creighton,PA,15030
-78.5928,40.4592,Sheetz,7551 Admiral Peary Hwy, Cresson,PA,16630
-76.5795277,40.9672996,Sheetz,9 Woodbine Ln, Danville,PA,17821
-77.0386,40.1167,Sheetz,493 N Us Route 15, Dillsburg,PA,17019
-78.7597,41.1189,Sheetz,124 N Brady St, Dubois,PA,15801
-78.7839,41.0828,Sheetz,2120 Blinker Pkwy, Dubois,PA,15801
-78.7419,41.125,Sheetz,701 E Dubois Ave, Dubois,PA,15801
-76.9867,40.3556,Sheetz,1550 State Rd, Duncannon,PA,17020
-77.0103,40.4089,Sheetz,54 Benvenue Road, Duncannon,PA,17020
-78.4131,40.4364,Sheetz,1371 Plank Rd, Duncansville,PA,16635
-75.6192,41.4375,Sheetz,1101 Oneill Hwy, Dunmore,PA,18512
-78.42,40.3614,Sheetz,8711 Woodbury Pike, East Freedom,PA,16637
-75.2761,40.7081,Sheetz,3501 Nazareth Road, Easton,PA,18045
-78.7567,40.4672,Sheetz,4375 Admiral Peary Highway, Ebensburg,PA,15931
-78.732866,40.483381,Sheetz,818 W High St, Ebensburg,PA,15931
-80.1728,41.8803,Sheetz,5930 Route 6n, Edinboro,PA,16412
-76.5492,40.8608,Sheetz,38 S Market St, Elysburg,PA,17824
-78.2378,41.5111,Sheetz,1 W 4th St, Emporium,PA,15834
-76.2175,40.1308,Sheetz,4179 Oregon Pike, Ephrata,PA,17522
-76.1569,40.165,Sheetz,891 East Main St, Ephrata,PA,17522
-80.1819,42.0725,Sheetz,4662 W Ridge Rd, Erie,PA,16506
-79.9942,42.1506,Sheetz,4816 Buffalo Rd, Erie,PA,16510
-80.1492,42.1053,Sheetz,750 Peninsula Dr, Erie,PA,16505
